GAME_ID,TEAM_ID,TOTAL_PTS,TOTAL_REB,TOTAL_AST,TOTAL_STL,TOTAL_BLK,TOTAL_TO,TOTAL_PF,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,IS_HOME,TEAM_WON
10700083,1610612766.0,93.0,32.0,21.0,11.0,5.0,18.0,22.0,1610612747,1610612766,1,0,0
10700084,1610612756.0,98.0,41.0,23.0,7.0,6.0,10.0,17.0,1610612766,1610612756,0,0,1
10700084,1610612766.0,88.0,52.0,20.0,3.0,3.0,16.0,24.0,1610612766,1610612756,0,1,0
10700085,1610612757.0,87.0,31.0,14.0,12.0,3.0,26.0,34.0,1610612758,1610612757,1,0,0
10700085,1610612758.0,111.0,40.0,23.0,11.0,3.0,21.0,25.0,1610612758,1610612757,1,1,1
10700086,1610612740.0,97.0,33.0,17.0,4.0,2.0,11.0,23.0,1610612742,1610612740,1,0,0
10700086,1610612742.0,103.0,47.0,18.0,5.0,5.0,16.0,26.0,1610612742,1610612740,1,1,1
10700087,1610612746.0,112.0,48.0,30.0,13.0,4.0,15.0,33.0,1610612747,1610612746,0,0,1
10700087,1610612747.0,96.0,41.0,21.0,6.0,3.0,22.0,21.0,1610612747,1610612746,0,1,0
10700088,1610612737.0,103.0,45.0,29.0,7.0,7.0,17.0,22.0,1610612737,1610612764,1,1,1
10700088,1610612764.0,99.0,42.0,16.0,10.0,4.0,16.0,27.0,1610612737,1610612764,1,0,0
10700089,1610612738.0,87.0,41.0,12.0,8.0,8.0,16.0,28.0,1610612752,1610612738,1,0,0
10700089,1610612752.0,94.0,53.0,17.0,9.0,5.0,16.0,26.0,1610612752,1610612738,1,1,1
10700090,1610612750.0,95.0,48.0,20.0,7.0,6.0,17.0,24.0,1610612750,1610612754,0,1,0
10700090,1610612754.0,106.0,46.0,18.0,10.0,4.0,23.0,21.0,1610612750,1610612754,0,0,1
10700091,1610612743.0,114.0,41.0,24.0,7.0,4.0,19.0,31.0,1610612743,1610612749,1,1,1
10700091,1610612749.0,102.0,42.0,25.0,8.0,6.0,16.0,30.0,1610612743,1610612749,1,0,0
10700092,1610612747.0,81.0,41.0,18.0,5.0,8.0,20.0,19.0,1610612747,1610612762,0,1,0
10700092,1610612762.0,102.0,50.0,32.0,14.0,3.0,10.0,28.0,1610612747,1610612762,0,0,1
10700093,1610612744.0,126.0,54.0,22.0,11.0,6.0,27.0,29.0,1610612760,1610612744,0,0,1
10700093,1610612760.0,122.0,58.0,29.0,15.0,7.0,25.0,31.0,1610612760,1610612744,0,1,0
10700094,1610612738.0,71.0,38.0,20.0,13.0,4.0,20.0,22.0,1610612751,1610612738,1,0,0
10700094,1610612751.0,82.0,38.0,18.0,8.0,5.0,21.0,25.0,1610612751,1610612738,1,1,1
10700095,1610612748.0,87.0,29.0,19.0,9.0,7.0,13.0,26.0,1610612748,1610612759,0,1,0
10700095,1610612759.0,104.0,40.0,19.0,5.0,2.0,15.0,18.0,1610612748,1610612759,0,0,1
10700096,1610612745.0,107.0,57.0,21.0,12.0,2.0,26.0,29.0,1610612745,1610612763,0,1,0
10700096,1610612763.0,109.0,48.0,24.0,14.0,2.0,19.0,23.0,1610612745,1610612763,0,0,1
10700097,1610612741.0,88.0,41.0,18.0,7.0,5.0,14.0,29.0,1610612742,1610612741,1,0,0
10700097,1610612742.0,96.0,49.0,16.0,5.0,7.0,17.0,24.0,1610612742,1610612741,1,1,1
10700098,1610612745.0,90.0,44.0,18.0,11.0,4.0,19.0,25.0,1610612763,1610612745,1,0,0
10700098,1610612763.0,96.0,42.0,21.0,8.0,7.0,16.0,21.0,1610612763,1610612745,1,1,1
10700099,1610612737.0,107.0,43.0,16.0,5.0,3.0,17.0,31.0,1610612740,1610612737,0,0,1
10700099,1610612740.0,98.0,41.0,18.0,3.0,2.0,16.0,24.0,1610612740,1610612737,0,1,0
10700100,1610612757.0,109.0,44.0,16.0,9.0,2.0,15.0,17.0,1610612757,1610612760,1,1,1
10700100,1610612760.0,107.0,37.0,19.0,7.0,3.0,17.0,28.0,1610612757,1610612760,1,0,0
10700101,1610612752.0,103.0,43.0,16.0,8.0,2.0,24.0,33.0,1610612752,1610612755,1,1,1
10700101,1610612755.0,90.0,34.0,16.0,14.0,4.0,16.0,27.0,1610612752,1610612755,1,0,0
10700102,1610612764.0,85.0,48.0,19.0,4.0,5.0,12.0,19.0,1610612765,1610612764,1,0,0
10700102,1610612765.0,104.0,46.0,30.0,3.0,5.0,7.0,19.0,1610612765,1610612764,1,1,1
10700103,1610612746.0,92.0,37.0,23.0,7.0,14.0,19.0,28.0,1610612746,1610612758,1,1,1
10700103,1610612758.0,90.0,37.0,18.0,9.0,5.0,17.0,29.0,1610612746,1610612758,1,0,0
10700104,1610612739.0,78.0,41.0,16.0,6.0,4.0,20.0,24.0,1610612761,1610612739,1,0,0
10700104,1610612761.0,111.0,43.0,31.0,14.0,3.0,8.0,28.0,1610612761,1610612739,1,1,1
10700105,1610612753.0,99.0,42.0,20.0,4.0,5.0,18.0,14.0,1610612753,1610612759,1,1,1
10700105,1610612759.0,90.0,32.0,25.0,8.0,4.0,12.0,16.0,1610612753,1610612759,1,0,0
10700106,1610612743.0,113.0,49.0,12.0,9.0,3.0,15.0,25.0,1610612756,1610612743,1,0,0
10700106,1610612756.0,116.0,47.0,26.0,6.0,4.0,19.0,35.0,1610612756,1610612743,1,1,1
10700108,1610612751.0,83.0,44.0,18.0,6.0,7.0,21.0,21.0,1610612751,1610612755,0,1,0
10700108,1610612755.0,91.0,36.0,20.0,10.0,4.0,15.0,30.0,1610612751,1610612755,0,0,1
10700109,1610612741.0,97.0,38.0,24.0,10.0,8.0,15.0,25.0,1610612741,1610612749,1,1,1
10700109,1610612749.0,81.0,32.0,18.0,4.0,3.0,20.0,22.0,1610612741,1610612749,1,0,0
10800001,1610612748.0,91.0,43.0,20.0,12.0,2.0,17.0,29.0,1610612748,1610612765,0,1,0
10800001,1610612765.0,95.0,45.0,17.0,8.0,4.0,24.0,32.0,1610612748,1610612765,0,0,1
10800002,1610612740.0,106.0,45.0,25.0,11.0,3.0,14.0,24.0,1610612740,1610612744,1,1,1
10800002,1610612744.0,103.0,42.0,22.0,8.0,4.0,19.0,20.0,1610612740,1610612744,1,0,0
10800003,1610612737.0,118.0,42.0,23.0,7.0,7.0,14.0,18.0,1610612753,1610612737,0,0,1
10800003,1610612753.0,101.0,31.0,18.0,7.0,11.0,16.0,22.0,1610612753,1610612737,0,1,0
10800004,1610612749.0,79.0,35.0,18.0,11.0,0.0,19.0,35.0,1610612749,1610612750,0,1,0
10800004,1610612750.0,117.0,38.0,23.0,8.0,5.0,21.0,25.0,1610612749,1610612750,0,0,1
10800005,1610612739.0,84.0,32.0,21.0,6.0,6.0,12.0,23.0,1610612739,1610612761,0,1,0
10800005,1610612761.0,104.0,41.0,26.0,9.0,2.0,15.0,22.0,1610612739,1610612761,0,0,1
10800006,1610612757.0,110.0,47.0,32.0,6.0,10.0,11.0,29.0,1610612757,1610612758,1,1,1
10800006,1610612758.0,81.0,39.0,10.0,5.0,3.0,12.0,31.0,1610612757,1610612758,1,0,0
10800007,1610612747.0,90.0,40.0,24.0,7.0,3.0,23.0,28.0,1610612747,1610612762,0,1,0
10800007,1610612762.0,99.0,28.0,25.0,10.0,5.0,13.0,25.0,1610612747,1610612762,0,0,1
10800008,1610612742.0,108.0,55.0,26.0,10.0,8.0,24.0,19.0,1610612742,1610612764,1,1,1
10800008,1610612764.0,82.0,37.0,13.0,12.0,6.0,21.0,26.0,1610612742,1610612764,1,0,0
10800009,1610612745.0,96.0,47.0,18.0,7.0,2.0,16.0,27.0,1610612745,1610612763,1,1,1
10800009,1610612763.0,93.0,39.0,17.0,6.0,12.0,12.0,27.0,1610612745,1610612763,1,0,0
10800010,1610612752.0,111.0,50.0,29.0,8.0,2.0,20.0,21.0,1610612761,1610612752,1,0,0
10800010,1610612761.0,113.0,46.0,23.0,14.0,3.0,19.0,24.0,1610612761,1610612752,1,1,1
10800011,1610612738.0,92.0,38.0,25.0,12.0,5.0,26.0,30.0,1610612755,1610612738,1,0,0
10800011,1610612755.0,98.0,34.0,17.0,14.0,4.0,21.0,25.0,1610612755,1610612738,1,1,1
10800012,1610612753.0,118.0,49.0,18.0,7.0,10.0,19.0,33.0,1610612753,1610612766,1,1,1
10800012,1610612766.0,80.0,45.0,13.0,10.0,10.0,18.0,35.0,1610612753,1610612766,1,0,0
10800013,1610612740.0,105.0,48.0,23.0,15.0,4.0,15.0,27.0,1610612754,1610612740,0,0,1
10800013,1610612754.0,71.0,52.0,11.0,6.0,9.0,25.0,23.0,1610612754,1610612740,0,1,0
10800014,1610612763.0,80.0,47.0,10.0,3.0,7.0,15.0,20.0,1610612763,1610612764,0,1,0
10800014,1610612764.0,89.0,48.0,19.0,10.0,8.0,15.0,26.0,1610612763,1610612764,0,0,1
10800015,1610612750.0,88.0,42.0,18.0,12.0,6.0,25.0,26.0,1610612750,1610612760,1,1,1
10800015,1610612760.0,82.0,43.0,16.0,9.0,1.0,24.0,24.0,1610612750,1610612760,1,0,0
10800016,1610612737.0,100.0,43.0,18.0,8.0,3.0,14.0,26.0,1610612756,1610612737,0,0,1
10800016,1610612756.0,96.0,37.0,25.0,5.0,4.0,12.0,26.0,1610612756,1610612737,0,1,0
10800017,1610612744.0,110.0,40.0,20.0,17.0,8.0,15.0,27.0,1610612757,1610612744,0,0,1
10800017,1610612757.0,95.0,50.0,22.0,10.0,9.0,26.0,31.0,1610612757,1610612744,0,1,0
10800018,1610612749.0,71.0,37.0,22.0,9.0,5.0,16.0,16.0,1610612765,1610612749,1,0,0
